CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;04/09/2020;1;0,004;R
ES0031405256532001ME0F;04/09/2020;2;0,004;R
ES0031405256532001ME0F;04/09/2020;3;0,004;R
ES0031405256532001ME0F;04/09/2020;4;0,004;R
ES0031405256532001ME0F;04/09/2020;5;0,004;R
ES0031405256532001ME0F;04/09/2020;6;0,004;R
ES0031405256532001ME0F;04/09/2020;7;0,004;R
ES0031405256532001ME0F;04/09/2020;8;0,004;R
ES0031405256532001ME0F;04/09/2020;9;0,004;R
ES0031405256532001ME0F;04/09/2020;10;0,016;R
ES0031405256532001ME0F;04/09/2020;11;0,082;R
ES0031405256532001ME0F;04/09/2020;12;0,084;R
ES0031405256532001ME0F;04/09/2020;13;0,029;R
ES0031405256532001ME0F;04/09/2020;14;0,016;R
ES0031405256532001ME0F;04/09/2020;15;0,014;R
ES0031405256532001ME0F;04/09/2020;16;0,013;R
ES0031405256532001ME0F;04/09/2020;17;0,014;R
ES0031405256532001ME0F;04/09/2020;18;0,014;R
ES0031405256532001ME0F;04/09/2020;19;0,022;R
ES0031405256532001ME0F;04/09/2020;20;0,02;R
ES0031405256532001ME0F;04/09/2020;21;0,028;R
ES0031405256532001ME0F;04/09/2020;22;0,09;R
ES0031405256532001ME0F;04/09/2020;23;0,282;R
ES0031405256532001ME0F;04/09/2020;24;1,179;R
ES0031405256532001ME0F;05/09/2020;1;0,134;R
ES0031405256532001ME0F;05/09/2020;2;0,016;R
ES0031405256532001ME0F;05/09/2020;3;0,015;R
ES0031405256532001ME0F;05/09/2020;4;0,016;R
ES0031405256532001ME0F;05/09/2020;5;0,015;R
ES0031405256532001ME0F;05/09/2020;6;0,015;R
ES0031405256532001ME0F;05/09/2020;7;0,016;R
ES0031405256532001ME0F;05/09/2020;8;0,015;R
ES0031405256532001ME0F;05/09/2020;9;0,025;R
ES0031405256532001ME0F;05/09/2020;10;0,042;R
ES0031405256532001ME0F;05/09/2020;11;0,015;R
ES0031405256532001ME0F;05/09/2020;12;0,015;R
ES0031405256532001ME0F;05/09/2020;13;0,015;R
ES0031405256532001ME0F;05/09/2020;14;0,016;R
ES0031405256532001ME0F;05/09/2020;15;0,015;R
ES0031405256532001ME0F;05/09/2020;16;0,015;R
ES0031405256532001ME0F;05/09/2020;17;0,024;R
ES0031405256532001ME0F;05/09/2020;18;0,027;R
ES0031405256532001ME0F;05/09/2020;19;0,02;R
ES0031405256532001ME0F;05/09/2020;20;0,072;R
ES0031405256532001ME0F;05/09/2020;21;0,09;R
ES0031405256532001ME0F;05/09/2020;22;0,037;R
ES0031405256532001ME0F;05/09/2020;23;0,832;R
ES0031405256532001ME0F;05/09/2020;24;0,048;R
ES0031405256532001ME0F;06/09/2020;1;0,053;R
ES0031405256532001ME0F;06/09/2020;2;0,019;R
ES0031405256532001ME0F;06/09/2020;3;0,015;R
ES0031405256532001ME0F;06/09/2020;4;0,015;R
ES0031405256532001ME0F;06/09/2020;5;0,016;R
ES0031405256532001ME0F;06/09/2020;6;0,015;R
ES0031405256532001ME0F;06/09/2020;7;0,015;R
ES0031405256532001ME0F;06/09/2020;8;0,015;R
ES0031405256532001ME0F;06/09/2020;9;0,065;R
ES0031405256532001ME0F;06/09/2020;10;0,019;R
ES0031405256532001ME0F;06/09/2020;11;0,015;R
ES0031405256532001ME0F;06/09/2020;12;0,017;R
ES0031405256532001ME0F;06/09/2020;13;0,019;R
ES0031405256532001ME0F;06/09/2020;14;0,064;R
ES0031405256532001ME0F;06/09/2020;15;0,044;R
ES0031405256532001ME0F;06/09/2020;16;0,015;R
ES0031405256532001ME0F;06/09/2020;17;0,016;R
ES0031405256532001ME0F;06/09/2020;18;0,016;R
ES0031405256532001ME0F;06/09/2020;19;0,013;R
ES0031405256532001ME0F;06/09/2020;20;0,039;R
ES0031405256532001ME0F;06/09/2020;21;0,118;R
ES0031405256532001ME0F;06/09/2020;22;0,138;R
ES0031405256532001ME0F;06/09/2020;23;0,132;R
ES0031405256532001ME0F;06/09/2020;24;0,12;R
ES0031405256532001ME0F;07/09/2020;1;0,148;R
ES0031405256532001ME0F;07/09/2020;2;0,103;R
ES0031405256532001ME0F;07/09/2020;3;0,082;R
ES0031405256532001ME0F;07/09/2020;4;0,038;R
ES0031405256532001ME0F;07/09/2020;5;0,015;R
ES0031405256532001ME0F;07/09/2020;6;0,014;R
ES0031405256532001ME0F;07/09/2020;7;0,081;R
ES0031405256532001ME0F;07/09/2020;8;0,013;R
ES0031405256532001ME0F;07/09/2020;9;0,013;R
ES0031405256532001ME0F;07/09/2020;10;0,041;R
ES0031405256532001ME0F;07/09/2020;11;0,072;R
ES0031405256532001ME0F;07/09/2020;12;0,102;R
ES0031405256532001ME0F;07/09/2020;13;0,079;R
ES0031405256532001ME0F;07/09/2020;14;0,043;R
ES0031405256532001ME0F;07/09/2020;15;0,054;R
ES0031405256532001ME0F;07/09/2020;16;0,034;R
ES0031405256532001ME0F;07/09/2020;17;0,107;R
ES0031405256532001ME0F;07/09/2020;18;0,079;R
ES0031405256532001ME0F;07/09/2020;19;0,057;R
ES0031405256532001ME0F;07/09/2020;20;0,073;R
ES0031405256532001ME0F;07/09/2020;21;0,106;R
ES0031405256532001ME0F;07/09/2020;22;0,058;R
ES0031405256532001ME0F;07/09/2020;23;0,036;R
ES0031405256532001ME0F;07/09/2020;24;0,101;R
ES0031405256532001ME0F;08/09/2020;1;0,031;R
ES0031405256532001ME0F;08/09/2020;2;0,013;R
ES0031405256532001ME0F;08/09/2020;3;0,014;R
ES0031405256532001ME0F;08/09/2020;4;0,013;R
ES0031405256532001ME0F;08/09/2020;5;0,014;R
